#00F08;00000000\r\n
00F09;3D4CCCCD\r\n
00F0A;00000001\r\n
00F0C;00000000\r\n
00F10;0000001B\r\n
01F08;00000000\r\n
01F09;3D4CCCCD\r\n
01F0A;00040104\r\n
01F0C;00000000\r\n
01F10;27BFFFFF\r\n
01F11;00000000\r\n
01F20;00000000\r\n
01F21;00000000\r\n
01F22;42CDE580\r\n
01F23;40763000\r\n
01F24;40740685\r\n
30000;01010101\r\n
01F25;406FA000\r\n
01F26;43B96360\r\n
01F27;438C5257\r\n
01F28;43128880\r\n
01F29;BD088600\r\n
01F2A;00000000\r\n
01F2B;3E155555\r\n
01F2C;3F7EC16C\r\n
01F2D;41C80000\r\n
01F2E;41C80000\r\n
01F2F;00000000\r\n
01F30;00000033\r\n
01F40;4071F000\r\n
01F41;406FA000\r\n
01F42;4074D000\r\n
01F43;4073B000\r\n
01F44;4072D000\r\n
01F45;4074B000\r\n
01F46;40733000\r\n
01F47;40736000\r\n
01F48;40755000\r\n
01F49;40742000\r\n
01F4A;40745000\r\n
01F4B;40743000\r\n
01F4C;40739000\r\n
01F4D;4075F000\r\n
01F4E;4074E000\r\n
01F4F;40763000\r\n
01F50;4075E000\r\n
01F51;4073B000\r\n
01F52;40755000\r\n
01F53;40710000\r\n
01F54;40755000\r\n
01F55;40727000\r\n
01F57;4073B000\r\n
01F58;40756000\r\n
01F59;40736000\r\n
01F5A;4075E000\r\n
01F5D;40742000\r\n
01F80;43AA7EE0\r\n
01F81;43B59AA0\r\n
01F82;43B02C00\r\n
01F83;43AB0B80\r\n
01F84;43A9A420\r\n
01F85;43B78EA0\r\n
01F86;43504D00\r\n
01F87;4379AEC0\r\n
01F88;43B45280\r\n
01F89;43B96360\r\n
01F8A;43B1C240\r\n
01F8B;43AFED80\r\n
01F8C;4379CE00\r\n
01F8D;4388FCC0\r\n
01F8E;4377DA00\r\n
01F8F;4357BF40\r\n
01F90;4346A840\r\n
01F91;43B4CF80\r\n
01F92;43533B00\r\n
01F93;437CDB40\r\n
01F94;4380AFC0\r\n
01F95;43911AE0\r\n
01F97;438CA640\r\n
01F98;43128880\r\n
01F99;43462B40\r\n
01F9A;4362BBC0\r\n
01F9D;43238040\r\n
03F08;00000000\r\n
03F09;3D4CCCCD\r\n
03F0A;00080102\r\n
03F0C;00000000\r\n
03F0D;08000000\r\n
03F20;00000001\r\n
03F21;54524962\r\n
03F22;42480000\r\n
03F23;00000000\r\n
03F24;00000000\r\n
03F25;3F000000\r\n
03F26;00000000\r\n
03F27;00000000\r\n
03F28;00000040\r\n
03F29;00000000\r\n
03F2A;00000000\r\n
03F2B;00000000\r\n
03F40;61495254\r\n
03F41;00000C70\r\n
03F42;00000000\r\n
03F43;00000008\r\n
03F44;42CE4CB4\r\n
03F45;00000000\r\n
29191;00012293\r\n
03F46;00000000\r\n
03F47;00000000\r\n
03F48;3E8449A0\r\n
03F49;3E960000\r\n
03F4A;3E383A80\r\n
03F4B;00000000\r\n
03F4C;00000000\r\n
03F4D;00000000\r\n
03F4E;00000000\r\n
03F4F;00000000\r\n
03F50;3FD2FDDB\r\n
03F51;416E63D2\r\n
03F52;3F9BCAA8\r\n
03F53;4020240E\r\n
03F54;00000000\r\n
03F55;00000000\r\n
03F56;43715A0A\r\n
03F57;41E4B450\r\n
03F58;4210FB28\r\n
03F59;41E8E050\r\n
03F5A;C18907AF\r\n
03F5B;C18907AF\r\n
03F5C;42DD488F\r\n
03F5D;3D8CFA44\r\n
04F08;00000000\r\n
04F09;3D4CCCCD\r\n
04F0A;00030104\r\n
04F0C;00000000\r\n
04F10;00000000\r\n
04F11;00000007\r\n
04F20;BF68A090\r\n
04F21;3CDFA440\r\n
04F22;BF09C779\r\n
04F23;00000000\r\n
04F24;00000000\r\n
04F25;00000000\r\n
04F29;3F83C9EF\r\n
04F2A;BD6F9DB2\r\n
04F2B;BDFF9724\r\n
04F2C;00000000\r\n
04F2D;00000000\r\n
04F2E;00000000\r\n
04F32;BDA7BB30\r\n
04F33;3C3FB15B\r\n
04F34;BF834A23\r\n
04F35;00000000\r\n
04F36;00000000\r\n
04F37;00000000\r\n
04F60;0000002B\r\n
04F61;BC4AB678\r\n
